Mods count: 352
 
                                     jar name                                      |     notes     |                 mod id                 |                 mod name                  |         mod version          |                                                                                                                                                                                                                                        mixin configs                                                                                                                                                                                                                                         |              modrinth hash               | curseforge hash
born_in_chaos_[Forge]1.20.1_1.7.4.jar                                              | MCreator mod  | born_in_chaos_v1                       | Born in Chaos                             | 1.7.3                        |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              | 11cfb515ee921daf3f008748a641d08aab02ebe9 | 3294507224     
bosgoety-1.0.1.jar                                                                 |               | bosgoety                               | Box Of Structures: Goety                  | 1.0.1                        | bosgoety.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                         | acd667f590a44360b157aa327767fa8f30b42986 | 3006623486     
Boss Music Mod 1.20.x v1.2.1.jar                                                   |               | boss_music_mod                         | §dBoss Music Mod                          | 1.2.0                        |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              | 4fb5935f1df17a135e448d6ec4e339f14b2c2361 | 1176964754     
botarium-forge-1.20.1-2.3.4.jar                                                    |               | botarium                               | Botarium                                  | 2.3.4                        |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              | a6928cb03b7c5f81900d3d3c8e8c8f6a89a51a5b | 752547332      
Bountiful-6.0.4+1.20.1-forge.jar                                                   |               | bountiful                              | Bountiful                                 | 6.0.4+1.20.1                 |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              | 3627112f17aeef9018d98883a2469e7f90afc3c4 | 3861227374     
brutality-0.8.5-1.20.1.jar                                                         |               | brutality                              | Brutality                                 | 0.8.5-1.20.1                 | brutality.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                        | e8600d1665405db20a5e5177142f324acfb412bc | 1553529191     
cabletiers-1.20.1-1.2.2.jar                                                        |               | cabletiers                             | Cable Tiers                               | 1.20.1-1.2.2                 | cabletiers.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                       | 83da147d635e3adbbcd59a24e4c4de9bbdf9830e | 4154200356     
caelus-forge-3.2.0+1.20.1.jar                                                      |               | caelus                                 | Caelus API                                | 3.2.0+1.20.1                 | caelus.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                           | fa834f140bf7dce7b67c29b46cb531f4309d3209 | 2212904341     
call_of_yucutan-1.0.13-forge-1.20.1.jar                                            | MCreator mod  | call_of_yucutan                        | Call of Yucatán                           | 1.0.13                       | mixins.call_of_yucutan.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                  | 63e0e47cfc41dbd591affac52e7787b7122257dc | 4274893874     
carryon-forge-1.20.1-2.1.2.7.jar                                                   |               | carryon                                | Carry On                                  | 2.1.2.7                      | carryon.mixins.json, carryon.forge.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                               | 9999714ca3dd2f2401f0396ca44f3b27c3784c4f | 1899432453     
celestisynth-1.20.1-1.3.4-all.jar                                                  |               | celestisynth                           | Celestisynth                              | 1.20.1-1.3.4                 | celestisynth.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                     | 1e0b3462ff81b012fb7914110e68a386aca3a316 | 3475423696     
    /META-INF/jarjar/capabilitysyncer-1.20.1-4.0.1.jar                             |               |                                        |                                           |                              |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |                                          |                
